Carot,Price
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
1.01,7366
0.49,985
0.31,544
1.51,9140
0.37,493
0.73,3011
1.53,11413
0.56,1814
0.41,876
0.74,2690
0.63,1991
0.6,4172
2.06,11764
1.1,4632
1.32,6171
2.02,15996
0.34,695
